Node_id,Node name,Skill tree ID,Branch,Excercise id,Previous Node_id,Difficulty,(Optional) weight setting
pushups_diamond_push_up,Diamond Push Up,pushups,foundation,diamond_push_up,pushups_elbows_in_push_up,4,
pushups_uneven_push_up,Push-Up (Uneven),pushups,one_arm,push_up_uneven,pushups_diamond_push_up,4,
pushups_archer_push_up,Push-Up (Archer),pushups,one_arm,push_up_archer,pushups_uneven_push_up,4,
pushups_incline_one_arm_push_up,"Push-Up (One Arm, Incline)",pushups,one_arm,push_up_one_arm_incline,pushups_archer_push_up,5,
pushups_one_arm_push_up,One Arm Push Up,pushups,one_arm,one_arm_push_up,pushups_incline_one_arm_push_up,5,
pushups_ring_wide_push_up,"Push-Up (Rings, Wide)",pushups,rings,push_up_rings_wide,pushups_diamond_push_up,4,
pushups_ring_push_up,Push-Up (Rings),pushups,rings,push_up_rings,pushups_ring_wide_push_up,4,
pushups_rto_push_up,Push-Up (Rings Turned Out),pushups,rings,push_up_rings_turned_out,pushups_ring_push_up,4,
pushups_rto_archer_push_up,"Push-Up (Rings Turned Out, Archer)",pushups,rings,push_up_rings_turned_out_archer,pushups_rto_push_up,5,
pushups_rto_pseudo_planche_push_up_lower_chest,RTO Pseudo Planche Push-Up (Lower Chest),pushups,rings,push_up_rings_turned_out_pseudo_planche,pushups_rto_archer_push_up,5,
pushups_rto_pseudo_planche_push_up_belly_button,RTO Pseudo Planche Push-Up (Belly Button),pushups,rings,push_up_rings_turned_out_pseudo_planche,pushups_rto_pseudo_planche_push_up_lower_chest,5,
pushups_rto_pseudo_planche_push_up_hips,RTO Pseudo Planche Push-Up (Hips),pushups,rings,push_up_rings_turned_out_pseudo_planche,pushups_rto_pseudo_planche_push_up_belly_button,5,
pushups_pseudo_planche_push_up_lower_chest,Pseudo Planche Push-Up (Lower Chest),pushups,planche,push_up_pseudo_planche,pushups_diamond_push_up,4,
pushups_pseudo_planche_push_up_belly_button,Pseudo Planche Push-Up (Belly Button),pushups,planche,push_up_pseudo_planche,pushups_pseudo_planche_push_up_lower_chest,4,
pushups_pseudo_planche_push_up_hips,Pseudo Planche Push-Up (Hips),pushups,planche,push_up_pseudo_planche,pushups_pseudo_planche_push_up_belly_button,5,
