Skill tree,Skill tree id,Branch name,Branch id,Step,Exercise,Exercise id,Difficulty,Previous node,Previous node id,Prerequisite ids,Shared foundation,Movement pattern,Measured in,Tree order
Pullups,pullups,One Arm,one_arm,4,Assisted Pull-Up,pullups_assisted_pull_up,3,Pull Up Negatives,pullups_pull_up_negative,pullups_pull_up_negative,yes,Vertical Pull,reps,3
Pullups,pullups,One Arm,one_arm,5,Pull-Up,pullups_pull_up,4,Assisted Pull-Up,pullups_assisted_pull_up,pullups_assisted_pull_up,yes,Vertical Pull,reps,4
Pullups,pullups,One Arm,one_arm,6,One-arm Towel Assisted Chin-up,pullups_one_arm_towel_assisted_chin_up,5,Pull-Up,pullups_pull_up,pullups_pull_up,no,Vertical Pull,reps,5
Pullups,pullups,One Arm,one_arm,7,One-Arm Pull-Up Eccentric,pullups_one_arm_pull_up_eccentric,5,One-arm Towel Assisted Chin-up,pullups_one_arm_towel_assisted_chin_up,pullups_one_arm_towel_assisted_chin_up,no,Vertical Pull,reps,6
Pullups,pullups,One Arm,one_arm,8,Half-one Arm Chin-up,pullups_half_one_arm_chin_up,5,One-Arm Pull-Up Eccentric,pullups_one_arm_pull_up_eccentric,pullups_one_arm_pull_up_eccentric,no,Vertical Pull,reps,7
Pullups,pullups,One Arm,one_arm,9,One Arm Chin-up,pullups_one_arm_chin_up,5,Half-one Arm Chin-up,pullups_half_one_arm_chin_up,pullups_half_one_arm_chin_up,no,Vertical Pull,reps,8
Rows,rows,Front Lever,front_lever,1,Incline Row,rows_vertical_rows,1,,,,yes,Horizontal Pull,reps,0
Rows,rows,Front Lever,front_lever,2,Inverted Row (Bent Legs),rows_inverted_rows_bent_legs,1,Incline Row,rows_vertical_rows,rows_vertical_rows,yes,Horizontal Pull,reps,1
Rows,rows,Front Lever,front_lever,3,Inverted Row (Straight Legs),rows_inverted_rows_straight_legs,2,Inverted Row (Bent Legs),rows_inverted_rows_bent_legs,rows_inverted_rows_bent_legs,yes,Horizontal Pull,reps,2
Rows,rows,Front Lever,front_lever,4,Feet-Elevated Row,rows_feet_elevated_rows,3,Inverted Row (Straight Legs),rows_inverted_rows_straight_legs,rows_inverted_rows_straight_legs,yes,Horizontal Pull,reps,3
